"contrast","iso1","iso2","iso1.mean.ratio","iso2.mean.ratio","Condition1(x=1)","Condition2(x=2)","before.interval","after.interval","x.value","y.value","before.prob","after.prob","before.diff","after.diff","before.pval","after.pval","before.FDR","after.FDR","before.t.points","after.t.points","prob","diff","cor","numeric.coordinates"
"SETI_WT.P-SETI_WT.mock","AT5G18260.1","AT5G18260_ID4",0.614025151889498,0.123657565520747,"SETI_WT.mock","SETI_WT.P","[1,1.8324]","(1.8324,2]",1.83237025539263,0.608597500673389,1,1,3.63060566666667,-0.731162,0.00578455309947068,0.143021180432693,0.0115691061989414,0.143021180432693,1,1,1,4.36176766666667,-0.753032888955222,NA
"SETI_WT.P-SETI_WT.mock","AT5G17680.1","AT5G17680_P2",0.0890299797985937,0.910970020201406,"SETI_WT.mock","SETI_WT.P","[1,1.049]","(1.049,2]",1.04902638521956,0.137181055325422,1,1,0.13723,-2.661875,0.0189183069953926,0.0293664548571557,0.0293664548571557,0.0293664548571557,1,1,1,2.799105,0.274228274591279,NA
"SETI_WT.P-SETI_WT.mock","AT5G17440_JC5","AT5G17440_s4",0.118839294084206,0.0702608757426123,"SETI_WT.mock","SETI_WT.P","[1,1.7544]","(1.7544,2]",1.75439729631164,1.13401430728478,1,1,2.195445,-0.714752333333333,0.106356938986679,0.170618157891845,0.170618157891845,0.170618157891845,1,1,1,2.91019733333333,-0.166278779300482,NA
"SETI_WT.P-SETI_WT.mock","AT5G13480_s1","AT5G13480_s2",0.169113141055106,0.070242883179283,"SETI_WT.mock","SETI_WT.P","[1,1.8083]","(1.8083,2]",1.80827701398525,0.414639749207731,1,1,1.65757866666667,-0.393177,0.228254759325515,0.0610199587731239,0.228254759325515,0.122039917546248,1,1,1,2.05075566666667,0.781662702011145,NA
"SETI_WT.P-SETI_WT.mock","AT5G13480_ID16","AT5G13480_s1",0.0496644105674056,0.169113141055106,"SETI_WT.mock","SETI_WT.P","[1,1.773]","(1.773,2]",1.77299128635876,0.490952274678901,1,1,-2.16270233333333,0.635133,0.226984419402564,0.2771062757961,0.2771062757961,0.2771062757961,1,1,1,2.79783533333333,-0.388210085805686,NA
"SETI_WT.P-SETI_WT.mock","AT5G07890_ID4","AT5G07890_P4",0.0390578448053838,0.150190817736963,"SETI_WT.mock","SETI_WT.P","[1,1.7936]","(1.7936,2]",1.79361627035729,0.433916838364282,1,1,-2.102476,0.546759,0.0415255439374427,0.251958257204551,0.0830510878748854,0.251958257204551,1,1,1,2.649235,-0.57448844179454,NA
"SETI_WT.P-SETI_WT.mock","AT5G05630_JS1","AT5G05630_P1",0.233619891485289,0.766380108514711,"SETI_WT.mock","SETI_WT.P","[1,1.7664]","(1.7664,2]",1.76638010851471,0.24880938958988,1,1,-1.065018,0.324655333333333,0.0446877992937851,0.0827486434902791,0.0827486434902791,0.0827486434902791,1,1,1,1.38967333333333,-0.780669429380948,NA
"SETI_WT.P-SETI_WT.mock","AT4G39270_P7","AT4G39270_s1",0.0616596378797146,0.0349388400901995,"SETI_WT.mock","SETI_WT.P","[1,1.6769]","(1.6769,2]",1.67689181953392,1.83194480985897,1,1,4.20037366666667,-2.00501033333333,0.010429335611712,0.0533160107164192,0.020858671223424,0.0533160107164192,1,1,1,6.205384,-0.931501637852915,NA
"SETI_WT.P-SETI_WT.mock","AT4G33470_ID21","AT4G33470_ID33",0.0156397182479346,0.0209726055268505,"SETI_WT.mock","SETI_WT.P","[1,1.5728]","(1.5728,2]",1.57282912867974,0.461109881827241,1,1,-1.07945066666667,0.804969333333333,0.116124633095286,0.134845401853919,0.134845401853919,0.134845401853919,1,1,1,1.88442,-0.61916749724348,NA
"SETI_WT.P-SETI_WT.mock","AT4G33470_ID21","AT4G33470_ID27",0.0156397182479346,0.123785243035326,"SETI_WT.mock","SETI_WT.P","[1,1.8878]","(1.8878,2]",1.88782698518266,0.714673496377827,1,1,-6.37117133333333,0.804969333333333,0.133974836268841,0.134845401853919,0.134845401853919,0.134845401853919,1,1,1,7.17614066666667,-0.599035307770709,NA
"SETI_WT.P-SETI_WT.mock","AT4G31430_P2","AT4G31430_s1",0.0595854715244186,0.0808250611639625,"SETI_WT.mock","SETI_WT.P","[1,1.4184]","(1.4184,2]",1.41841307629599,0.670686234277771,1,1,1.05405966666667,-1.46512466666667,0.0179177291316201,0.0461187580778592,0.0358354582632402,0.0461187580778592,1,1,1,2.51918433333333,-0.902081864308289,NA
"SETI_WT.P-SETI_WT.mock","AT4G26140_P5","AT4G26140_s1",0.170686448361377,0.456072421402096,"SETI_WT.mock","SETI_WT.P","[1,1.2368]","(1.2368,2]",1.23682023621852,0.507117701709626,1,1,0.513618333333333,-1.65519266666667,0.0359527940707751,0.0254146416564859,0.0359527940707751,0.0359527940707751,1,1,1,2.168811,-0.711796081654242,NA
"SETI_WT.P-SETI_WT.mock","AT4G25080.5","AT4G25080_P2",0.0539784233079429,0.0623337721842388,"SETI_WT.mock","SETI_WT.P","[1,1.7085]","(1.7085,2]",1.70847579854048,3.10332760836926,1,1,-2.32576333333333,0.957007,0.177559166717563,0.110287322671416,0.177559166717563,0.177559166717563,1,1,1,3.28277033333333,0.98792482262592,NA
"SETI_WT.P-SETI_WT.mock","AT4G25080.4","AT4G25080_P2",0.0385482077490784,0.0623337721842388,"SETI_WT.mock","SETI_WT.P","[1,1.691]","(1.691,2]",1.69103518388342,3.27084124146802,1,1,-7.047447,3.150944,0.144098991529258,0.112855023993541,0.144098991529258,0.144098991529258,1,1,1,10.198391,0.319224020056042,NA
"SETI_WT.P-SETI_WT.mock","AT4G23910_ID12","AT4G23910_ID5",0.101759735302946,0.123972770669063,"SETI_WT.mock","SETI_WT.P","[1,1.6102]","(1.6102,2]",1.61023013028289,2.22936789313054,1,1,-2.83673266666667,1.811895,0.0233152271696299,0.0283458221178085,0.0283458221178085,0.0283458221178085,1,1,1,4.64862766666667,0.851486652527387,NA
"SETI_WT.P-SETI_WT.mock","AT4G23910_ID11","AT4G23910_ID5",0.0838925902229607,0.123972770669063,"SETI_WT.mock","SETI_WT.P","[1,1.5964]","(1.5964,2]",1.59640899348045,2.30842069076288,1,1,-5.719703,3.870533,0.00655328534906208,0.0380780867297702,0.0131065706981242,0.0380780867297702,1,1,1,9.590236,-0.915843255492715,NA
"SETI_WT.P-SETI_WT.mock","AT4G23910_ID11","AT4G23910_ID12",0.0838925902229607,0.101759735302946,"SETI_WT.mock","SETI_WT.P","[1,1.5834]","(1.5834,2]",1.58340729148573,2.25809717413615,1,1,-2.88297033333333,2.058638,0.00112451072812599,0.184346542340172,0.00224902145625198,0.184346542340172,1,1,1,4.94160833333333,-0.931516906785156,NA
"SETI_WT.P-SETI_WT.mock","AT4G23910.2","AT4G23910_ID5",0.0958903240622149,0.123972770669063,"SETI_WT.mock","SETI_WT.P","[1,1.5639]","(1.5639,2]",1.5638634843223,2.49457133713127,1,1,-5.719703,4.42406966666667,0.00655328534906208,0.00561723307289598,0.00655328534906208,0.00655328534906208,1,1,1,10.1437726666667,-0.97602434433633,NA
"SETI_WT.P-SETI_WT.mock","AT4G23910.2","AT4G23910_ID12",0.0958903240622149,0.101759735302946,"SETI_WT.mock","SETI_WT.P","[1,1.5246]","(1.5246,2]",1.52463953787085,2.32104186542846,1,1,-2.88297033333333,2.61217466666667,0.00112451072812599,0.00351164042531334,0.00224902145625198,0.00351164042531334,1,1,1,5.495145,-0.778830751212731,NA
"SETI_WT.P-SETI_WT.mock","AT4G22200_JS1","AT4G22200_s1",0.0770443258707386,0.694622783910503,"SETI_WT.mock","SETI_WT.P","[1,1.9002]","(1.9002,2]",1.90015859832023,1.25477997881574,1,1,-12.567732,1.39395433333333,0.0231326090785432,0.128763853434539,0.0462652181570864,0.128763853434539,1,1,1,13.9616863333333,-0.747110733500447,NA
"SETI_WT.P-SETI_WT.mock","AT4G22200_JS1","AT4G22200_P1",0.0770443258707386,0.228332890218759,"SETI_WT.mock","SETI_WT.P","[1,1.7477]","(1.7477,2]",1.7477076814789,1.04227036266413,1,1,-4.13120133333333,1.39395433333333,0.0258068046942334,0.128763853434539,0.0516136093884668,0.128763853434539,1,1,1,5.52515566666667,-0.743213730415278,NA
"SETI_WT.P-SETI_WT.mock","AT4G13030_JC9","AT4G13030_P1",0.41876649494739,0.383173780811948,"SETI_WT.mock","SETI_WT.P","[1,1.5222]","(1.5222,2]",1.52219162399702,0.703234067525796,1,1,1.471791,-1.34669733333333,0.045585745276837,0.122386149568798,0.0911714905536739,0.122386149568798,1,1,1,2.81848833333333,-0.723755111827136,NA
"SETI_WT.P-SETI_WT.mock","AT4G02550_P5","AT4G02550_c2",0.100775992082211,0.0161796306733683,"SETI_WT.mock","SETI_WT.P","[1,1.1383]","(1.1383,2]",1.13833991297008,1.10231686659688,1,1,-1.27929433333333,7.96817666666667,0.0269817152052302,0.00669323510953776,0.0269817152052302,0.0133864702190755,1,1,1,9.247471,-0.935542919588069,NA
"SETI_WT.P-SETI_WT.mock","AT4G02550_P4","AT4G02550_c2",0.00982080403150342,0.0161796306733683,"SETI_WT.mock","SETI_WT.P","[1,1.6499]","(1.6499,2]",1.64985362788837,0.447940269679629,1,1,-1.09017733333333,0.587396333333333,0.0810745822266271,0.16584707938737,0.162149164453254,0.16584707938737,1,1,1,1.67757366666667,-0.539002411142361,NA
"SETI_WT.P-SETI_WT.mock","AT4G02550_P3","AT4G02550_c2",0.0237428774097482,0.0161796306733683,"SETI_WT.mock","SETI_WT.P","[1,1.3803]","(1.3803,2]",1.38027833844709,0.792806409868554,1,1,-0.949749333333333,1.54776166666667,0.05400944063648,0.154864086718938,0.10801888127296,0.154864086718938,1,1,1,2.497511,-0.63116100199777,NA
"SETI_WT.P-SETI_WT.mock","AT4G02550_P3","AT4G02550_P5",0.0237428774097482,0.100775992082211,"SETI_WT.mock","SETI_WT.P","[1,1.0488]","(1.0488,2]",1.04882177079568,0.389020494879476,1,1,0.329545,-6.420415,0.00579429837794512,0.0190989757393571,0.0115885967558902,0.0190989757393571,1,1,1,6.74996,0.664754430534785,NA
"SETI_WT.P-SETI_WT.mock","AT3G59780_JC6","AT3G59780_s2",0.0321047787530265,0.0381931647578147,"SETI_WT.mock","SETI_WT.P","[1,1.5433]","(1.5433,2]",1.54330415443696,2.20681780648315,1,1,-4.832139,4.061846,0.134689845310046,0.0122346130225706,0.134689845310046,0.0244692260451411,1,1,1,8.893985,-0.754984184654885,NA
"SETI_WT.P-SETI_WT.mock","AT3G59780_JC6","AT3G59780_s1",0.0321047787530265,0.108743308691924,"SETI_WT.mock","SETI_WT.P","[1,1.8211]","(1.8211,2]",1.82106122562507,3.33502425506028,1,1,-12.3981996666667,2.70201366666667,0.0745289779762538,0.0810466717344298,0.0810466717344298,0.0810466717344298,1,1,1,15.1002133333333,-0.815916046957513,NA
"SETI_WT.P-SETI_WT.mock","AT3G59780_ID32","AT3G59780_JC6",0.00202013266204911,0.0321047787530265,"SETI_WT.mock","SETI_WT.P","[1,1.052]","(1.052,2]",1.05202837382036,0.211331242088733,1,1,0.221033666666667,-4.02729566666667,0.0540885948311889,0.0127486457447464,0.0540885948311889,0.0254972914894928,1,1,1,4.24832933333333,-0.814029625955218,NA
"SETI_WT.P-SETI_WT.mock","AT3G15570_P1","AT3G15570_c1",0.957142617765955,0.0428573822340448,"SETI_WT.mock","SETI_WT.P","[1,1.969]","(1.969,2]",1.96895034441278,0.520252980286347,1,1,16.535126,-0.529862,0.124897097991246,0.246429149370804,0.246429149370804,0.246429149370804,1,1,1,17.064988,0.0213513730085698,NA
"SETI_WT.P-SETI_WT.mock","AT3G12915_JS1","AT3G12915_JS3",0.187845050440478,0.776648441924757,"SETI_WT.mock","SETI_WT.P","[1,1.8052]","(1.8052,2]",1.80523969116699,0.449568272124067,1,1,-2.30831566666667,0.558303666666667,0.00249843255157989,0.00774613587268682,0.00499686510315978,0.00774613587268682,1,1,1,2.86661933333333,-0.979783001613509,NA
"SETI_WT.P-SETI_WT.mock","AT3G11280_P1","AT3G11280_P2",0.616120904525167,0.32316039394724,"SETI_WT.mock","SETI_WT.P","[1,1.8607]","(1.8607,2]",1.86067638516387,22.0490327815091,1,1,42.4013216666667,-6.863794,0.00373919432133789,0.167444151353492,0.00747838864267579,0.167444151353492,1,1,1,49.2651156666667,-0.343997676755719,NA
"SETI_WT.P-SETI_WT.mock","AT3G09410_ID12","AT3G09410_P3",0.223285551830638,0.110296946668198,"SETI_WT.mock","SETI_WT.P","[1,1.7596]","(1.7596,2]",1.75959171432275,1.05627872797798,1,1,2.35206966666667,-0.744422333333333,0.0846001694545437,0.161908800998321,0.161908800998321,0.161908800998321,1,1,1,3.096492,-0.597266241220966,NA
"SETI_WT.P-SETI_WT.mock","AT3G07300_JS1","AT3G07300_c2",0.0429634759262348,0.140241580907164,"SETI_WT.mock","SETI_WT.P","[1,1.1606]","(1.1606,2]",1.16058864129007,1.21986263402445,1,1,1.24650166666667,-6.515577,0.0132860335476691,0.0309249085335066,0.0265720670953382,0.0309249085335066,1,1,1,7.76207866666667,-0.496621294603516,NA
"SETI_WT.P-SETI_WT.mock","AT3G07300.3","AT3G07300_c2",0.107815271033622,0.140241580907164,"SETI_WT.mock","SETI_WT.P","[1,1.4346]","(1.4346,2]",1.43463935863928,3.3016053228989,1,1,5.83982166666667,-7.596195,0.0231728750544668,0.0160089036399836,0.0231728750544668,0.0231728750544668,1,1,1,13.4360166666667,-0.925322401739756,NA
"SETI_WT.P-SETI_WT.mock","AT3G07300.3","AT3G07300_JS1",0.107815271033622,0.0429634759262348,"SETI_WT.mock","SETI_WT.P","[1,1.8095]","(1.8095,2]",1.80954709057448,1.11221102694284,1,1,4.59332,-1.080618,0.0482110380098543,0.0330415085467137,0.0482110380098543,0.0482110380098543,1,1,1,5.673938,0.142632970705796,NA
"SETI_WT.P-SETI_WT.mock","AT3G01980_P4","AT3G01980_P5",0.156904012506117,0.227037267644485,"SETI_WT.mock","SETI_WT.P","[1,1.3978]","(1.3978,2]",1.39776184537523,2.48132116858773,1,1,3.58248833333333,-5.424128,0.1344433517353,0.0142907303883039,0.1344433517353,0.0285814607766079,1,1,1,9.00661633333333,-0.901951952702985,NA
"SETI_WT.P-SETI_WT.mock","AT3G01980_P2","AT3G01980_P4",0.248236214805125,0.156904012506117,"SETI_WT.mock","SETI_WT.P","[1,1.3668]","(1.3668,2]",1.36683632596884,2.60873944217825,1,1,-3.3034,5.701706,0.184779586910379,0.0043660723827078,0.184779586910379,0.00873214476541559,1,1,1,9.005106,-0.919937199870556,NA
"SETI_WT.P-SETI_WT.mock","AT3G01980_P1","AT3G01980_P5",0.274401202374537,0.227037267644485,"SETI_WT.mock","SETI_WT.P","[1,1.5514]","(1.5514,2]",1.55142811035997,3.23220374034454,1,1,6.66786466666667,-5.424128,0.0524577496681913,0.0142907303883039,0.0524577496681913,0.0285814607766079,1,1,1,12.0919926666667,-0.955944406555064,NA
"SETI_WT.P-SETI_WT.mock","AT3G01980_P1","AT3G01980_P2",0.274401202374537,0.248236214805125,"SETI_WT.mock","SETI_WT.P","[1,1.5284]","(1.5284,2]",1.52841368583944,3.39803515050453,1,1,6.38877633333333,-5.701706,0.0775036924263819,0.0043660723827078,0.0775036924263819,0.00873214476541559,1,1,1,12.0904823333333,-0.987805724073268,NA
"SETI_WT.P-SETI_WT.mock","AT3G01980_ID4","AT3G01980_P4",0.0607328112296095,0.156904012506117,"SETI_WT.mock","SETI_WT.P","[1,1.7209]","(1.7209,2]",1.72094423091123,1.14975609190339,1,1,-4.120166,1.594792,0.0652526864183438,0.0098391684557854,0.0652526864183438,0.0196783369115708,1,1,1,5.714958,-0.863718211646447,NA
"SETI_WT.P-SETI_WT.mock","AT3G01980_ID4","AT3G01980_P1",0.0607328112296095,0.274401202374537,"SETI_WT.mock","SETI_WT.P","[1,1.8188]","(1.8188,2]",1.81878052133095,1.30578462517443,1,1,-7.20554233333333,1.594792,0.0256614924550889,0.0098391684557854,0.0256614924550889,0.0196783369115708,1,1,1,8.80033433333333,-0.932121674636757,NA
"SETI_WT.P-SETI_WT.mock","AT2G47760_P1","AT2G47760_P5",0.443558740398928,0.27131517088757,"SETI_WT.mock","SETI_WT.P","[1,1.699]","(1.699,2]",1.69898149312414,2.74535390304487,1,1,6.22042433333333,-2.67884466666667,0.0470201015796997,0.111034748552133,0.0940402031593994,0.111034748552133,1,1,1,8.899269,0.0286791785516092,NA
"SETI_WT.P-SETI_WT.mock","AT2G38185_P1","AT2G38185_P2",0.499575929846282,0.500424070153718,"SETI_WT.mock","SETI_WT.P","[1,1.4994]","(1.4994,2]",1.49939399443836,1.61277543493763,1,1,2.25439433333333,-2.25986566666667,0.0590872238029629,0.0660742629420539,0.0660742629420539,0.0660742629420539,1,1,1,4.51426,-0.746337424436244,NA
"SETI_WT.P-SETI_WT.mock","AT2G36120_s13","AT2G36120_s18",0.220345452590456,0.255460538616275,"SETI_WT.mock","SETI_WT.P","[1,1.4571]","(1.4571,2]",1.45706746714476,4.48157053566209,1,1,7.00225333333333,-8.31770233333333,0.0282100746104139,0.0712949148323505,0.0564201492208279,0.0712949148323505,1,1,1,15.3199556666667,-0.734436767142492,NA
"SETI_WT.P-SETI_WT.mock","AT2G36120_P1","AT2G36120_s13",0.463355112856868,0.220345452590456,"SETI_WT.mock","SETI_WT.P","[1,1.155]","(1.155,2]",1.15498075815716,6.9751085211173,1,1,-2.04459966666667,11.1480036666667,0.167403639171113,0.00882611880839142,0.167403639171113,0.0176522376167828,1,1,1,13.1926033333333,-0.548584924267973,NA
"SETI_WT.P-SETI_WT.mock","AT2G26980_ID6","AT2G26980_P4",0.0358285340125129,0.0589568187960882,"SETI_WT.mock","SETI_WT.P","[1,1.3622]","(1.3622,2]",1.3621659924457,1.23369768908271,1,1,1.755625,-3.091945,0.109963978454856,0.116367346500855,0.116367346500855,0.116367346500855,1,1,1,4.84757,-0.687829032668264,NA
"SETI_WT.P-SETI_WT.mock","AT2G26980.1","AT2G26980_P4",0.0120529738658563,0.0589568187960882,"SETI_WT.mock","SETI_WT.P","[1,1.1381]","(1.1381,2]",1.1381417862206,0.470572074631398,1,1,0.517287666666667,-3.22732633333333,0.0225853191808792,0.0812057472357311,0.0451706383617585,0.0812057472357311,1,1,1,3.744614,-0.484199656740032,NA
"SETI_WT.P-SETI_WT.mock","AT2G26590_P1","AT2G26590_P3",0.43253352407374,0.474185626675138,"SETI_WT.mock","SETI_WT.P","[1,1.3763]","(1.3763,2]",1.37626471694714,12.0741912550776,1,1,3.408561,-5.650383,0.057162633012692,0.201807971157598,0.114325266025384,0.201807971157598,1,1,1,9.058944,-0.283266159463225,NA
"SETI_WT.P-SETI_WT.mock","AT2G25470_P2","AT2G25470_P3",0.113143269757389,0.886856730242611,"SETI_WT.mock","SETI_WT.P","[1,1.0824]","(1.0824,2]",1.08242057652433,0.260429433193203,1,1,0.272049333333333,-3.028696,0.0262242300338995,0.00383131991140278,0.0262242300338995,0.00766263982280557,1,1,1,3.30074533333333,-0.618912077669927,NA
"SETI_WT.P-SETI_WT.mock","AT2G20950_ID14","AT2G20950_P12",0.117490422632245,0.147246335158468,"SETI_WT.mock","SETI_WT.P","[1,1.3054]","(1.3054,2]",1.30544823238701,1.26153754306865,1,1,0.634908666666667,-1.44370433333333,0.0620513536672266,0.216418823350307,0.124102707334453,0.216418823350307,1,1,1,2.078613,0.977996683248588,NA
"SETI_WT.P-SETI_WT.mock","AT2G20950_ID14","AT2G20950_ID40",0.117490422632245,0.147131757603143,"SETI_WT.mock","SETI_WT.P","[1,1.3093]","(1.3093,2]",1.30934764795915,1.26825631148814,1,1,0.653639,-1.45932033333333,0.00507577153502154,0.0276204802308425,0.0101515430700431,0.0276204802308425,1,1,1,2.11295933333333,0.92451996123308,NA
"SETI_WT.P-SETI_WT.mock","AT2G04378_JC1","AT2G04378_c1",0.0393235666423516,0.0850746217256819,"SETI_WT.mock","SETI_WT.P","[1,1.7121]","(1.7121,2]",1.71212820588438,0.464618934437669,1,1,-1.45689633333333,0.588938,0.204987492973816,0.0570501610840463,0.204987492973816,0.114100322168093,1,1,1,2.04583433333333,-0.775825056441361,NA
"SETI_WT.P-SETI_WT.mock","AT2G02080_JS3","AT2G02080_P4",0.0472470254677914,0.15260392251669,"SETI_WT.mock","SETI_WT.P","[1,1.9751]","(1.9751,2]",1.97508321176356,0.0961101651466578,1,1,-2.73285466666667,0.069834,0.0381747042994217,0.0734357309300828,0.0734357309300828,0.0734357309300828,1,1,1,2.80268866666667,0.913664909791352,NA
"SETI_WT.P-SETI_WT.mock","AT1G69420_P1","AT1G69420_P2",0.878662896113426,0.0924107182224693,"SETI_WT.mock","SETI_WT.P","[1,1.9555]","(1.9555,2]",1.95550749548834,1.21158923732419,1,1,11.3153866666667,-0.526892666666667,0.0592285481616329,0.24276588542746,0.118457096323266,0.24276588542746,1,1,1,11.8422793333333,-0.860488712033185,NA
"SETI_WT.P-SETI_WT.mock","AT1G69420_ID43","AT1G69420_P2",0.0203397360491267,0.0924107182224693,"SETI_WT.mock","SETI_WT.P","[1,1.1804]","(1.1804,2]",1.18039604523572,0.228743267735163,1,1,0.27909,-1.268006,0.0126759944905587,0.0132395656641948,0.0132395656641948,0.0132395656641948,1,1,1,1.547096,-0.94979742571243,NA
"SETI_WT.P-SETI_WT.mock","AT1G64760_P1","AT1G64760_P2",0.453176928054472,0.524807066357219,"SETI_WT.mock","SETI_WT.P","[1,1.4317]","(1.4317,2]",1.4316699572122,7.09403994545406,1,1,6.74064566666667,-8.87463066666667,0.131868339527906,0.0621794783374013,0.131868339527906,0.124358956674803,1,1,1,15.6152763333333,-0.899878961722477,NA
"SETI_WT.P-SETI_WT.mock","AT1G63830_ID4","AT1G63830_P1",0.53528914376958,0.413341357553785,"SETI_WT.mock","SETI_WT.P","[1,1.2707]","(1.2707,2]",1.27070087004941,70.4354569417439,1,1,-29.9354823333333,80.649616,0.00253871886116049,0.106137067247613,0.00507743772232097,0.106137067247613,1,1,1,110.585098333333,0.948285306785933,NA
"SETI_WT.P-SETI_WT.mock","AT1G63830.3","AT1G63830_P5",0.00485184783312271,0.00657861694527825,"SETI_WT.mock","SETI_WT.P","[1,1.2749]","(1.2749,2]",1.27494856139037,0.90048372004965,1,1,0.438661,-1.15676833333333,0.406627914918137,0.176779182357562,0.406627914918137,0.353558364715124,1,1,1,1.59542933333333,0.627027530817721,NA
"SETI_WT.P-SETI_WT.mock","AT1G61430_P8","AT1G61430_P9",0.154583815406304,0.0862189154626461,"SETI_WT.mock","SETI_WT.P","[1,1.3426]","(1.3426,2]",1.34255946381518,0.84357970287322,1,1,-1.10685233333333,2.12427233333333,0.0603200806063206,0.0658481384901394,0.0658481384901394,0.0658481384901394,1,1,1,3.23112466666667,-0.758549235360271,NA
"SETI_WT.P-SETI_WT.mock","AT1G61430_P3","AT1G61430_P9",0.109563472869544,0.0862189154626461,"SETI_WT.mock","SETI_WT.P","[1,1.4288]","(1.4288,2]",1.42875283295424,0.732982663709926,1,1,-1.045351,1.39276933333333,0.182132833461677,0.072299922238865,0.182132833461677,0.14459984447773,1,1,1,2.43812033333333,-0.841200277137961,NA
"SETI_WT.P-SETI_WT.mock","AT1G61430_P2","AT1G61430_P9",0.210988385564453,0.0862189154626461,"SETI_WT.mock","SETI_WT.P","[1,1.2533]","(1.2533,2]",1.25330508614189,0.958104404734017,1,1,-0.953299,2.810143,0.119513814099841,0.0217136404239751,0.119513814099841,0.0434272808479502,1,1,1,3.763442,-0.808386666245784,NA
